ANIO,FECHA_REGISTRO,REGION_FUENTE,NOMBRE_EXDH_DZ,PROVINCIA_FUENTE,CODIGO_DPA_CANTON,CANTON_FUENTE,PARROQUIA_FUENTE,TIPO_PARROQUIA_FUENTE,NOMBRE_EXCAC_OT,COORDENADA_X_FUENTE,COORDENADA_Y_FUENTE,COTA_FUENTE,PFAFSTETTER,SISTEMA_FUENTE,CUENCA_FUENTE,SUB_CUENCA_FUENTE,MICROCUENCA_FUENTE,TIPO_FUENTE,SITIO_CAPTACION_FUENTE,NOMBRE_FUENTE,NOMBRE_USO_APROVECHAMIENTO,NOMBRE_SUB_USO_APROVECHAMIENTO,GRUPO_USUARIO_AUTORIZADO,TIPO_USUARIO_AUTORIZADO,CODIGO_UNICO,CODIGO_PROCESO,ANIO_TRAMITE,NUMERO_PROCESO,CAUDAL_AUTORIZADO_LS,ESTADO_TRAMITE
2020.0,2020-03-13,ORIENTE,NAPO,NAPO,1503.0,ARCHIDONA,COTUNDO,RURAL,TENA,859665.0,9919711.0,1210.0,497896.0,NAPO,RIO NAPO,RIO NAPO,"RIO TENA Y OTROS, DREN AL RIO MISAHUALLI","VERTIENTES, MANANTIAL, ACUIFERO",NARUPA,VERTIENTE SIN NOMBRE,ACUICULTURA,USO EN GENERAL PARA PISCICOLA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,NA-TE-000514-114998,NA-TE-000514-2015,2015.0,514.0,2.0,VIGENTE
2020.0,2020-12-12,ORIENTE,NAPO,NAPO,1503.0,ARCHIDONA,COTUNDO,RURAL,TENA,860936.0,9908015.0,769.0,497896.0,NAPO,RIO NAPO,RIO NAPO,"RIO TENA Y OTROS, DREN AL RIO MISAHUALLI",RIO,GRAN CAÑON,ÑACHIYAKU,TURISTICO,USO EN GENERAL PARA RECREATIVO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,NA-TE-000877-126320,NA-TE-000877-2016,2016.0,877.0,0.33,VIGENTE
2020.0,2020-01-07,COSTA,ESMERALDAS,ESMERALDAS,806.0,ATACAMES,LA UNION,URBANA,ESMERALDAS,626500.0,10093200.0,20.0,0.0,ESMERALDAS,NO DETERMINADA,NO DETERMINADA,NO DETERMINADA,RIO,RIO TASECHE,DOMSTICO,CONSUMO HUMANO,EXTENSIVO A OTROS USOS DOMESTICOS,CENTROS O INSTITUCIONES EDUCATIVAS,SECCIONAL,ES-ES-000088-130016,ES-ES-000088-1989,1989.0,88.0,0.085,VIGENTE
2020.0,2020-03-18,COSTA,ESMERALDAS,ESMERALDAS,806.0,ATACAMES,TONCHIGUE,RURAL,ESMERALDAS,621824.0,10090400.0,43.0,15199.0,MUISNE,RIO TONCHIGUE,RIO TONCHIGUE,ESTERO SAME,POZO,HACIENDA LA CUMBIA,ESTERO SAME,RIEGO,CULTIVOS DE PASTIZALES,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,ES-ES-000007-111615,ES-ES-000007-2015,2015.0,7.0,2.32,VIGENTE
2020.0,2020-04-27,COSTA,ESMERALDAS,ESMERALDAS,806.0,ATACAMES,TONCHIGUE,RURAL,ESMERALDAS,621824.0,10090402.0,43.0,15199.0,MUISNE,NO DETERMINADA,NO DETERMINADA,NO DETERMINADA,POZO,NO DETERMINADA,ESTERO SAME - POZOS PROFUNDOS - DREN AL OCEANO PACIFICO,RIEGO,CULTIVOS DE PASTIZALES,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,ES-ES-000364-111614,ES-ES-000364-2007,2007.0,364.0,5.55,CANCELADO
2020.0,2020-05-04,COSTA,ESMERALDAS,ESMERALDAS,806.0,ATACAMES,TONCHIGUE,RURAL,ESMERALDAS,621824.0,10090400.0,43.0,15199.0,MUISNE,NO DETERMINADA,NO DETERMINADA,NO DETERMINADA,POZO,NO DETERMINADA,ESTERO SAME - POZOS PROFUNDOS - DREN AL OCEANO PACIFICO,ABREVADERO SOBERANIA ALIMENTARIA,USO DE ABREVADERO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,ES-ES-000364-111620,ES-ES-000364-2007,2007.0,364.0,0.5,CANCELADO
2020.0,2020-03-16,SIERRA,SANTIAGO,CAÑAR,301.0,AZOGUES,LUIS CORDERO,RURAL,CUENCA,744211.0,9700475.0,3043.0,0.0,SANTIAGO,RIO SANTIAGO,RIO PAUTE,RIO BURGAY,"VERTIENTES, MANANTIAL, ACUIFERO",LUIS CORDERO/AZOGUES/CAÑAR,VERTIENTE INNOMINADA 4,RIEGO,USO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,SA-CU-002308-116921,SA-CU-002308-2014,2014.0,2308.0,0.034,VIGENTE
2020.0,2020-03-11,COSTA,JUBONES,GUAYAS,903.0,BALAO,BALAO,CABECERA CANTONAL,SUBSECRETARIA,651169.0,9675929.0,141.0,13956.0,NARANJAL-PAGUA,RIO BALAO,RIO BALAO,DREN AL RIO BALAO GRANDE ALTO HASTA CONFLUENCIA CON RIO CHICO,"VERTIENTES, MANANTIAL, ACUIFERO","RECINTO NUEVA ESPERANZA, PARROQUIA BALAO, CANTON NARANJAL PROVINCIA DEL GUAYAS",VERTIENTE SIN NOMBRE,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"MUNICIPIOS, CONCEJOS",SECCIONAL,JU-JU-000428-117913,JU-JU-000428-2014,2014.0,428.0,7.59,VIGENTE
2020.0,2020-06-18,SIERRA,SANTIAGO,CAÑAR,302.0,BIBLIAN,BIBLIAN,CABECERA CANTONAL,CUENCA,733450.0,9707085.0,3170.0,0.0,SANTIAGO,RIO SANTIAGO,RIO PAUTE,RIO BURGAY,"VERTIENTES, MANANTIAL, ACUIFERO",PAPALOMA DE LA NUBE/BIBLIAN/BIBLIAN/CAÑAR,VERTIENTE ZHUCUS HUAYCO N§ 2,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,SA-CU-002223-120961,SA-CU-002223-2001,2001.0,2223.0,0.3,CANCELADO
2020.0,2020-06-18,SIERRA,SANTIAGO,CAÑAR,302.0,BIBLIAN,BIBLIAN,CABECERA CANTONAL,CUENCA,733450.0,9707085.0,3180.0,0.0,SANTIAGO,RIO SANTIAGO,RIO PAUTE,RIO BURGAY,"VERTIENTES, MANANTIAL, ACUIFERO",PAPALOMA DE LA NUBE/BIBLIAN/BIBLIAN/CAÑAR,VERTIENTE ZHUCUS HUAYCO N§ 3,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,SA-CU-002223-120962,SA-CU-002223-2001,2001.0,2223.0,0.13,CANCELADO
2020.0,2020-06-18,SIERRA,SANTIAGO,CAÑAR,302.0,BIBLIAN,BIBLIAN,CABECERA CANTONAL,CUENCA,733450.0,9707085.0,3080.0,0.0,SANTIAGO,RIO SANTIAGO,RIO PAUTE,RIO BURGAY,"VERTIENTES, MANANTIAL, ACUIFERO",PAPALOMA DE LA NUBE/BIBLIAN/BIBLIAN/CAÑAR,VERTIENTE PILATOS N§ 1,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,SA-CU-002223-120967,SA-CU-002223-2001,2001.0,2223.0,0.05,CANCELADO
2020.0,2020-06-18,SIERRA,SANTIAGO,CAÑAR,302.0,BIBLIAN,BIBLIAN,CABECERA CANTONAL,CUENCA,733450.0,9707085.0,3080.0,0.0,SANTIAGO,RIO SANTIAGO,RIO PAUTE,RIO BURGAY,"VERTIENTES, MANANTIAL, ACUIFERO",PAPALOMA DE LA NUBE/BIBLIAN/BIBLIAN/CAÑAR,VERTIENTE ZHUCUS HUAYCO N§ 5,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,SA-CU-002223-120964,SA-CU-002223-2001,2001.0,2223.0,0.14,CANCELADO
