Nombre;Etiqueta;Medida
ANIO_CREACION;Año de creación del área de protección hídrica;Escala
REG_NAT;Región Natural del país;Nominal
DEMAR_HIDRO;Demarcación Hidrográfica a la que pertenece el área de protección hídrica;Nominal
DIR_ZON;Dirección Zonal a la que pertenece el área de protección hídrica;Nominal
DPA_PROVIN;Código de la provincia según codificación geográfica estadística del 2020;Ordinal
DPA_DESPRO;Provincia según codificación geográfica estadística del 2020;Nominal
DPA_CANTON;Código del cantón según codificación geográfica estadística del 2020;Ordinal
DPA_DESCAN;Cantón según codificación geográfica estadística del 2020;Nominal
DPA_PARROQ;Código de la parroquia según codificación geográfica estadística del 2020;Ordinal
DPA_DESPAR;Parroquia según codificación geográfica estadística del 2020;Nominal
AREA;Sector de la parroquia;Nominal
NAM;Área de Protección Hídrica.;Nominal
EDEL;Estado del proceso administrativo del área de protección hídrica;Nominal
SUP_HA;Superficie en hectáreas ;Escala
