,ANIO_CREACION,REG_NAT,AREA_PROTEC,DEMAR_HIDRO,DIR_ZON,DPA_PROVIN,DPA_DESPRO,DPA_CANTON,DPA_DESCAN,DPA_PARROQ,DPA_DESPAR,AREA,NAM,EDEL,SUP_HA
0,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,5,COTOPAXI,0501,LATACUNGA,050150,LATACUNGA,URBANO,SANTA ELENA,TERMINADO,"166,498875"
1,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA GUAYAS,DIRECCIÓN ZONAL GUAYAS,2,BOLÖVAR,0201,GUARANDA,020157,SAN SIMÓN,RURAL,SAN SIMÓN DE QUINLLUNGA-GUARANDA,TERMINADO,"556,577508"
2,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,nan,TUNGURAHuA,1806,QUERO,180650,QUERO,URBANO,TELIGOTE,TERMINADO,"1,825835"
3,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,18,TUNGURAHUA,1807,SAN PEDRO DE PELILEO,180750,PELILEO,URBANO,TELIGOTE,TERMINADO,"193,884743"
4,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,18,TUNGURAUA,1807,SAN PEDRO DE PELILEO,180752,BOLÍVAR,RURAL,TELIGOTE,TERMINADO,"2,391932"
5,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,18,TUNGURaHUA,1805,PATATE,180550,PATATE,URBANO,SAN JORGE DE PATATE,TERMINADO,"110,282326"
6,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,18,TUNGURAHUA,1805,PATATE,180553,SUCRE,RURAL,SAN JORGE DE PATATE,TERMINADO,"104,847436"
7,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,10,IMBABURA,1004,OTAVALO,100450,OTAVALO,URBANO,MOJANDA,TERMINADO,"0,000009"
8,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,17,PICHINCHA,1704,PEDRO MONCAYO,170450,TABACUNDO,URBANO,MOJANDA,TERMINADO,"1068,115736"
9,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,17,PICHINCHA,1704,PEDRO MONCAYO,170451,LA ESPERANZA,RURAL,MOJANDA,TERMINADO,"976,896649"
10,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,17,PICHINCHa,1704,PEDRO MONCAYO,170452,MALCHINGUÍ,RURAL,MOJANDA,TERMINADO,"1319,017785"
11,2019.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,17,PICHINCHA,1704,PEDRO MONCAYO,170453,TOCACHI,RURAL,MOJANDA,TERMINADO,"2400,838763"
12,2021.0,REGIÓN SIERRA O INTERAnNDINA,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,17,PICHINCHA,1704,PEDRO MONCAYO,170454,TUPIGACHI,RURAL,MOJANDA,TERMINADO,"332,16145"
13,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0401,TULCµN,040150,TULCÁN,URBANO,NORTE DEL ECUADOR,TERMINADO,"7494,6303"
14,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0401,TULCµN,040153,JULIO ANDRADE,RURAL,NORTE DEL ECUADOR,TERMINADO,"2271,016215"
15,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0401,TULCµN,040154,MALDONADO,RURAL,NORTE DEL ECUADOR,TERMINADO,"3219,578098"
16,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0401,TULCµN,040155,PIOTER,RuRAL,NORTE DEL ECUADOR,TERMINADO,"1040,682038"
17,2021.0,REGIÓN SIERRA O INTERAnNDINA,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0401,TULCµN,040157,TUFIÑO,RURAL,NORTE DEL ECUADOR,TERMINADO,"10549,2979"
18,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0401,TULCµN,040158,URBINA,RURAL,NORTE DEL ECUADOR,TERMINADO,"287,700782"
19,2021.0,REGIÓN SIERRA O INTERAnNDINA,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHII,0401,TULCµN,040161,SANTA MARTHA DE CUBA,RURAL,NORTE DEL ECUADOR,TERMINADO,"600,132409"
20,2021.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA MIRA,DIRECCIÓN ZONAL IMBABURA,4,CARCHI,0403,ESPEJO,040350,EL ÁNGEL,URBANO,NORTE DEL ECUADOR,TERMINADO,"837,235547"
