ANIO_CREACION;REG_NAT;AREA_PROTEC;DEMAR_HIDRO;DIR_ZON;DPA_PROVIN;DPA_DESPRO;DPA_CANTON;DPA_DESCAN;DPA_PARROQ;DPA_DESPAR;AREA;NAM;EDEL;SUP_HA;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;5;COTOPAXI;0501;LATACUNGA;050150;LATACUNGA;URBANO;SANTA ELENA;CONCLUIDO;166,498875;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA GUAYAS;DIRECCIÓN ZONAL GUAYAS;2;BOLÖVAR;0201;GUARANDA;020157;SAN SIMÓN;RURAL;SAN SIMÓN DE QUINLLUNGA-GUARANDA;CONCLUIDO;556,577508;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;NULL;TUNGURAHuA;1806;QUERO;180650;QUERO;URBANO;TELIGOTE;CONCLUIDO;1,825835;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1807;SAN PEDRO DE PELILEO;180750;PELILEO;URBANO;TELIGOTE;CONCLUIDO;193,884743;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAUA;1807;SAN PEDRO DE PELILEO;180752;BOLÍVAR;RURAL;TELIGOTE;CONCLUIDO;2,391932;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURaHUA;1805;PATATE;180550;PATATE;URBANO;SAN JORGE DE PATATE;CONCLUIDO;110,282326;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;18;TUNGURAHUA;1805;PATATE;180553;SUCRE;RURAL;SAN JORGE DE PATATE;CONCLUIDO;104,847436;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;10;IMBABURA;1004;OTAVALO;100450;OTAVALO;URBANO;MOJANDA;CONCLUIDO;0,000009;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1704;PEDRO MONCAYO;170450;TABACUNDO;URBANO;MOJANDA;CONCLUIDO;1068,115736;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1704;PEDRO MONCAYO;170451;LA ESPERANZA;RURAL;MOJANDA;CONCLUIDO;976,896649;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHa;1704;PEDRO MONCAYO;170452;MALCHINGUÍ;RURAL;MOJANDA;CONCLUIDO;1319,017785;
2019;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1704;PEDRO MONCAYO;170453;TOCACHI;RURAL;MOJANDA;CONCLUIDO;2400,838763;
2021;REGIÓN SIERRA O INTERAnNDINA;;DEMARCACIàN HIDROGRµFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1704;PEDRO MONCAYO;170454;TUPIGACHI;RURAL;MOJANDA;TERMINADO;332,16145;
2021;REGIÓN SIERRA O INTERANDIN@;;DEMARCACIàN HIDROGRµFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;0401;TULCµN;040150;TULCÁN;URBANO;NORTE DEL ECUADOR;TERMINADO;7494,6303;
